NG3 path: indexes/NG3 numberOfCategories: 3   25.165 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   16.261 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   25.389 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   28.928 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   15.919 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   18.360 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   12.376 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   16.798 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   15.898 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   11.957 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.032 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.402 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.219 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.804 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.372 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.320 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   9.295 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   12.355 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   11.123 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.219 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   9.824 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.114 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   9.730 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   8.511 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   11.224 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   20.428 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   16.400 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   9.842 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   7.258 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   13.502 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   15.077 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   15.518 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   1.927 seconds
NG3 path: indexes/NG3 numberOfCategories: 3   10.618 seconds
